fragment,data,control,exception
https://github.com/mjsalerno/UnoBot/blob/4ee2ef9abe11a299a434f9ea998b6dddd8a4b0aa/src/main/java/com/mjsalerno/unobot/UnoBot.java#L576C1-L587C18,26,0,0
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImage.java#L216C6-L231C43,2,0,0
https://github.com/STEMLab/JIneditor/blob/ccca7bec12fe58583d25da0d13ae038b27d34424/src/main/java/edu/pnu/gui/CanvasPanel.java#L401C1-L417C18,12,0,0
https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/plugins/tiff/TIFFDecompressor.java#L1143C1-L1152C22,6,0,0
https://github.com/streamx-co/ExTree/blob/2cb6b78c0eb4dc25fa81f582641b5464779a93fa/src/main/java/co/streamx/fluent/extree/expression/ExpressionMethodVisitor.java#L435C1-L437C94,6,0,0
https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L118C1-L137C25,10,0,0
https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L238C6-L255C18,6,0,0
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImageEncoder.java#L448C1-L454C18,16,0,0
https://github.com/jruby/jcodings/blob/4eb6216f88f2b4ce80b555cc58e3f86e88b72c86/src/org/jcodings/transcode/Transcoding.java#L231C14-L245C30,5,0,0
https://github.com/mvel/mvel/blob/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/optimizers/impl/asm/ASMAccessorOptimizer.java#L1833C1-L1842C10,4,0,0
https://github.com/mvel/mvel/blob/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/optimizers/impl/asm/ASMAccessorOptimizer.java#L1991C1-L1996C48,1,0,0
https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/impl/plugins/tiff/TIFFImageWriter.java#L1762C3-L1767C36,10,0,0
https://github.com/tommyettinger/RegExodus/blob/48a8167a5dc1e381fc741fabd425965a22aa1503/src/main/java/regexodus/CharacterClass.java#L507C1-L519C30,19,0,0
https://github.com/tommyettinger/RegExodus/blob/48a8167a5dc1e381fc741fabd425965a22aa1503/src/main/java/regexodus/CharacterClass.java#L551C27-L565C50,24,0,0
https://github.com/StarlangSoftware/TurkishMorphologicalAnalysis/blob/26450b47db92b64580a2bfa4a0d7d0bce38edd49/src/main/java/MorphologicalAnalysis/Transition.java#L317C1-L329C47,8,0,0
https://github.com/hoijui/Jawk/blob/33cfbc2bc14bc9c75fedccbe2963ef26b61543dc/src/main/java/org/jawk/frontend/AwkParser.java#L697C1-L710C6,11,0,0
https://github.com/EsotericSoftware/yamlbeans/blob/763726d51c99824218051e485e1b44f7477456fa/src/com/esotericsoftware/yamlbeans/YamlReader.java#L350C1-L359C8,4,0,0
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/jpeg/JpegImageParser.java#L391C1-L407C22,4,0,0
