hash,dev-tests-cov,evosuite-cov,randoop-reg-cov,randoop-all-cov,combined-cov
801a5988c45eea81ff161e8170067771,0,.7500,.2500,.2500,.7500
8026500a6a5838cbede9a43159bd6913,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
80f9ecdf11cbde11b3d3639d96b9912c,0,0,NO_INFO,0,0
815fea1e412fe38b6d898a13d10fec77,.3333,NO_INFO,NO_INFO,0,.3333
816c67014650af706737861cbe5dcadf,0,0,0,0,0
833c3068b64fed8755a4d6b60f91d56f,0,NO_INFO,NO_INFO,NO_INFO,0
849ed8c5a6dc47cc730a213831207639,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
84da069c06b78d6fa744e63bdf2eecff,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
852885eafaa085f04726681bfcc07b60,0,0,0,0,0
864f640ddf598d902884d68b9e383758,0,1.0000,0,0,1.0000
8706fe0c06a9adc80de014e9e2222b1f,0,0,NO_INFO,NO_INFO,0
878c3c0542722218add383a1433117f2,0,NO_INFO,NO_INFO,NO_INFO,0
89a27998edff11c6b9f44da48a18f547,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
89b816b2cc84d271c379186936e8caac,0,.8000,NO_INFO,NO_INFO,.8000
8b2b37b6b7a1687298afba6d5ddbba81,0,NO_INFO,NO_INFO,NO_INFO,0
8d294c9e0c3dfe42dc860e2932ade250,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
8d31e32718e0f2983e4a9ea950ebff89,0,0,0,0,0
8e137e1dcc78732b90b6540dc4dcfe92,0,.4000,NO_INFO,NO_INFO,.4000
8e6c37d2edc094727743b3bab081720b,0,0,NO_INFO,NO_INFO,0
8f1deeee0d96f81c9a24e2d318d74eda,1.0000,1.0000,NO_INFO,NO_INFO,1.0000
92bdc5d75253c06d177c0e8ff2d8c657,0,.8333,NO_INFO,NO_INFO,.8333
9480e8229a36c0a6f7ef580725643eda,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
94d65b03fba21cb31bec413e071ced02,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
958a897398113fd65d50b9c12f6903ed,0,0,NO_INFO,0,0
970f8eefa51f3083bcdb1748da8c4e7e,0,0,0,0,0
975c33523e0edd91f3b941c28e13f8de,1.0000,NO_INFO,NO_INFO,0,1.0000
996b20d6edded7c2fae5e5528a0420b1,0,0,NO_INFO,NO_INFO,0
99ecc72827d94d133c1de73de833a648,0,0,NO_INFO,0,0
9aa6f8f78c63e8fc2b075e7a6493e413,0,0,NO_INFO,0,0
9b0b32c02f8a22bf7c69b1f9cd8a2bc9,1.0000,0,NO_INFO,NO_INFO,1.0000
9b46fda3cb3f8ecca8d85b6c8a6ab8fb,0,0,NO_INFO,NO_INFO,0
9f1b46634e3f9700d64563bb91e87eba,,,NO_INFO,NO_INFO,
9f643765dc2917581e07bce559419b8c,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
a0f672a4a9e54f2cfdabfa5ea92a4e20,.6000,NO_INFO,NO_INFO,0,.6000
a1aa2afc091d9cb4035dccdec79a0429,0,0,NO_INFO,NO_INFO,0
a3ff09094fc5c73fc7eec72e18edf2d1,0,NO_INFO,NO_INFO,NO_INFO,0
a560ada137b398d0af8ff1444181c321,1.0000,0,NO_INFO,0,1.0000
