hash,total,writing
8666b623c746f13ffd5e5eda1b449050,30,30
13785a088574eb77e4183a87448b0463,414,166
7a33c76bb57c8dbb8eeb2eaa60230f8f,206,134
8d96cfb6f7cecbd7799e9ee9a42504f4,256,143
a98d5ace3ce57ea3a67f58d115b35561,210,130
93e81952ad26b15233b80d80a3e1c93a,200,144
5b88c186450391204ecfe74ef7878bae,176,127
7617fc44c276fc328017d049de0a64a8,251,136
261e726ecf26d6a9e690d837da558cea,78,78
b5cf437a683094f701a43f1943269348,145,123
54a1216b6b0aa1a55332f7fe6ad79dac,374,159
c513f8925d362b9dd644d7a1b9de77d0,416,155
2a7c7e626ef88c07b7f97eecb0749555,125,120
68594486965c5ee848459473fbf60358,75,75
d83e9d4edb5b4ffa65e15b90543cfb78,75,75
934b5f805fdf498beacce876fd82928f,90,90
a1610390c1c50cdd25548601934ea682,144,123
87b52f12b6946aa24f4aaec72cd0ea9f,61,61
35b1f67e206604a60f333d6a34d0d09e,117,117
657cfb1a1c2e712be367ae91fa0e7c14,1385,347
71d4aa3f74ea318b252342af1468d765,148,124
eb294f9f0a004010316465df5e685e2b,148,124
2ce7c2cca1d14620541b22f722409827,1531,313
3b238132ea4ec42fd344562704dfbbee,141,122
24a31da1a2000c21e799b39334534593,350,144
2fa4e547339eb58959af050d85ead0ee,533,167
d41b65be79fcc7026ce6b5cc2d0ed627,421,151
142d65bfdf3b3961aa76c43389d3af87,319,147
964bfb47863358712f51633905089ce7,290,150
09d8ef77b8f3396564b04ad9616d6d74,2125,360
283635d76bfdc9d1b7f50560c44f61ef,917,202
99f4fda945a53be53b829ff3533bbbea,344,163
e92284eaacfec23da6937c77b1579868,140,122
c5d21a8cf20c5328e2b6f6197e352612,344,143
b92bd020f25a1285ae7179ca02ecec6f,343,144
17590f09ac2b40a840dac5a2843959d9,359,158
c632688886bb7da5ca0c4584361b3b3d,476,163
b0eadf692ddeee885babf97c4c7b1296,1765,411
c0d4f4cb366f0ba4f7ff7e621a41e8ae,313,156
14a268114dcb8ee900f765969b054502,1146,224
6b884cecf231265f2e3f6a79c449c55b,253,134
bb44a0afcfb5c5907d9ecf2bbbb74c1f,889,263
1f2aed9be5d32f6fd810edeb7fb3b632,1221,333
49d0bc098a9999b05f42dfb5cc59668b,363,163
908ba97753c33182ab0abaa046a0eec5,1433,379
099666801bd64ff61f74f9d6f1e11e5f,682,195
6b1ba2c1ef5745b17565cd33dc18e14e,169,129
9d79fe55d65b4aef046f2a4291a3e6e2,312,147
da138a9bba97dd57d9c4368fba3accc3,119,119
33c03d2bd6859418b027d6bf1a46bfda,228,131
8de8bc672aaf26e1da1c6f9284966837,775,212
339490ce4e28938f9fd1e4ef2989aed4,185,131
9bca5050d48b752d9908dccd923795df,77,77
0cb5345035735a98598361ccad754ff6,113,113
df4adfd0e829951502f7a9d67508d396,353,153
453cd34128f3dbf9c77d8c5f5c9b55ab,55,55
733da2d6e3cfc720ba047614b88f28a3,348,152
07449f14449c42aba9b877e111f4c1f6,157,124
786c0ed766ae764ee0a1819244422f1d,218,131
5ab76194a27b1effdb89eb71b9f0065b,61,61
5190281f4d775ed1df8851708d26239f,179,129
38c5899e405c48d2b09264c0bf3f0077,440,171
2649e5b8ace3ae31b6cdc342a15cd820,30,30
4a2c6520e16f78fd86dd886074ad81ac,2711,617
60513f528eb239e8356658ecd3a84737,795,104
db01a48bea44c08dc0a01bdc15626467,182,69
90b4ead55923e837533ac5f9355657ed,505,104
4f447bc75a67528392e12473b53cd0a4,524,114
cc175b0f45ecb1f3854a43a4d1874902,581,235
821380ba3824822f79d0ab5c14b3e006,447,186
9ce8008e086ab75d8b6ffef023aa1ff5,566,322
9878a5ce0630c5997110b31d4700b9fb,357,190
16da66e339fe71d7682307d421625c4f,99,90
9f5567f426c3faea5c2103794acb018c,231,180
d7439f5ef27e99c78416cc3fd823178c,545,232
cd418c878b219a8efc346c704a0f12bb,532,128
54d423962be05c7393c09c23ae8366aa,55,45
1cf44d9608de928acf0493168a9c6d1f,210,65
130faf41894a28014717773a8a885bc9,225,69
b7860b46461af44143f2fc48bb518048,501,301
7f076592ea0c2a5a6aa00211035d1c3b,1000,554
f3d3cea11af31b21133ad82b7950ce4d,131,120
3cbaabd6879cafaad6a6ed917ed0bb2e,320,186
08140e8d55329a12398460a793c305ad,119,100
2403aac425a3863ffd79d8a336e855b6,30,25
e57b2815190356783ebd3609dcfa4f16,728,302
251332b5ae20d6bb3f976ca3c1b6d2a5,492,206
6a9333e2d74089383a5909a98c90e687,70,55
546f76cb398367edb9a8a520de800e91,135,85
bb2befa1a15c45214d6bdc5fb78ba6c4,292,68
b45e3fee5c20301354ba28e7a2f1bf7d,466,199
65a6b91dd2a6248deb5eb57064d59174,396,101
0bf3a03aadd26ff60770ef89e3a0c904,273,76
49224a5efa7049ecb0994048fc38900e,312,87
cc9ebccabfe1a701ee27d044c48c3f73,268,57
2c5bb827e88b4cbd38985502b7c77445,175,95
1ab791ff4624f5e022efcf0f61ddbe8e,144,52
1801a8579ff31293b2a130c76f50fe10,195,96
8a1fd41f48cd0ddaad90e9e1b33fbbbb,166,64
38c0c35071bab84afc6c9d12692033b9,352,140
f14e1eb1af76523cd47b2e252f0056a5,64,59
db98483e9d34565771f134822675bc18,171,51
aab282abf51f8d9d99a687b52aa33943,245,160
fe30a59dd360dad4544eb210e4e22d7a,55,47
fe98dec0bd81e7245cbd16edefcc417a,480,113
57b5c7dc7de7e5202af0e11545a19443,246,126
cb98881a9a2f5fbba128e42dc47d000f,30,25
137b8481f964a7eee39d9334054a4668,270,71
c9966a3e5df1b30be6af9158d7c63370,341,70
694f91083c211b7414074486363fead3,304,149
0861d2d7d7b2078a350b683c18f858be,1076,254
346a2ca27e1180ae144ce7f98dc2882d,624,143
acac4c63043d2444cad98f608d855b5d,202,62
27bcb8df1190db3495fb32a7bf231421,85,47
4730b0a17421b096691a2d5fb3287cf3,643,134
8ff4f0e6aa8c77da1ecc753d607bea33,30,25
15b3bf5097f2e1fea8e80c45504dcd47,363,113
ae6a8876c141311d133ae1c33822eeea,260,221
ada13596df2c1dfea60f4801739e6f34,268,143
f8011179aab2fabcefe0fd488e4b9afa,360,232
82ae13fac66631f5ebce2bd4c446fe29,296,82
b53046befa1c7b738c558f4fd7c4890d,201,164
d3aa0031ab00129459800ecb3607b1dc,160,106
fb6e7c6c1d4d6188f30c48916dc1e9c3,90,60
70a8655d074a5f2f6999dc1e596eddec,45,40
5ea6c39b560fdca112d9556b78ef4dfc,20,20
727057e4d024ce5e22e8dc08ba5de420,205,86
7711f084bcde0578e3151227105a14f4,285,112
57cd55953add1814c664e52858a40cd5,35,30
1b55a089d89e5a70d45a19357a40dfae,34,29
c47127388666ae12a2fbbb95fbe4fad6,130,90
e7c7e62f13e9253a39ebeb293d25a081,86,53
a46a3eda6c79ff09326e754d200e1ccb,333,106
5ad03e960c1546c2e9c2f6159afb9806,197,113
923985e65854c7e2dc6cf26cd5cdece2,131,67
217a341368ae3a809ad98c53fd5ce048,309,43
9f9bccd71a86ae9c231fbcda50737ece,199,79
a9bc293c98d57ad9ee8590787856fdcb,260,91
cec0d42de9f070ce6c4479ac9b4c8a4a,135,65
191cc8f7a47e14184c26b6e2103093dd,293,143
73f0d7681c181ae8921ee19f9cb90240,202,102
eef80243b5d4895065c30a9f8961baf3,150,63
a74656c5b0d4fd59d6cdd95b63ecb314,235,120
1b8132503eded182a7fb305a3d51d430,414,143
a21efdb9610a6215a4d3fa1363330164,249,96
6c63ab8bd908d81edf6998eac5930e74,40,20
409e0a81819696553a436320665ebae3,40,20
4320a335ccb667984e8bda88994bed48,540,18
7f1e532d45b8acc5e0b44e5931f37b47,706,20
81ff3059befa0d31795367d58ac99452,150,18
