file,generation time,test time,blocktest count,actual test count,USEABLE,total_time
maxmind-geoip-api-java-0ed8a38981512667533d47204486aae0278a1bc8-timeZone,1621,1857,24,24,TRUE,3.478
messai-engineering-Yuga-40b006970e6e9a1eb5fc13e739f22232c683a965-Yuga,1614,1892,2,1,TRUE,3.506
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour,2295,1438,24,24,TRUE,3.733
mojohaus-license-maven-plugin-b9ec9b85e32fa978b8bdd9aee018b0bf94a518fe-CalcFileWriter,1832,2288,3,3,TRUE,4.12
mojohaus-license-maven-plugin-b9ec9b85e32fa978b8bdd9aee018b0bf94a518fe-ExcelFileWriter,1624,2236,3,3,TRUE,3.86
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-AbstractParser,1659,1920,1,1,TRUE,3.579
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-ASMAccessorOptimizer,1694,1925,4,4,TRUE,3.619
narupley-not-going-to-be-commons-ssl-346bb4e8481316687a643219800a398ecd8f62a8-PKCS8Key,1578,2005,6,6,TRUE,3.583
nothingax-micro-DB-1bbae368f7670f94130606fa65bcbc8ccbb89b98-Aggregate,1445,1867,2,2,TRUE,3.312
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil,1931,1322,5,5,TRUE,3.253
OWASP-json-sanitizer-fc612ab374de73d03864d56fb87b6a103b234489-JsonSanitizer,1646,1750,14,14,TRUE,3.396
package-url-packageurl-java-47351deccffb9394df42b913f59ffc00741af0b6-PackageURL,1508,1869,1,1,TRUE,3.377
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerKnownPosition,1459,1620,1,1,TRUE,3.079
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerPool,1476,1586,1,1,TRUE,3.062
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerPrintSeeds,1465,1602,1,1,TRUE,3.067
PeterisP-morphology-1195adb7bb994292e5b06f2b20f4feb6191ca951-Mijas,1651,1794,18,9,TRUE,3.445
pfmiles-min-velocity-4e8ec4f64681c1d6941bf8d90a51849e87b86cf5-ParserTokenManager,1709,1327,1,1,TRUE,3.036
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-ExpressionParser,1519,1608,4,4,TRUE,3.127
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Parser,1721,2065,21,1,TRUE,3.786
